id;origin;destination;departure_time;seats_available;description;price
1;avant que reproduire espiègle;fade;2024-06-12T06:58:13;9049;incognito débile pour que;15435.21
2;rose prétendre;entièrement;2024-06-12T00:34:27;13333;ça y de manière à;422.95
3;prévaloir vide tant;de crainte que quand;2024-06-11T17:26:36;5266;ah derrière tranquille;12868.01
4;psitt répartir restaurer;de sorte que suivant bè;2024-06-11T18:29:05;18660;cuicui replacer;5499.86
5;concilier personnel durant;pour que tant;2024-06-11T21:26:40;26126;ci administration;32227.69
6;commis de cuisine de sorte que;pacifique immense;2024-06-12T00:59:29;15701;à force de;10588.18
7;au point que arrière antagoniste;près;2024-06-11T16:37:05;15646;élaborer afin que assez;22423.8
8;du fait que suivant aussitôt que;afin que parce que avex;2024-06-11T14:00:24;15187;immense quand ? de manière à ce que;26264.67
9;quant à;juriste secours;2024-06-12T05:31:35;20957;dans la mesure où;19174.09
10;au défaut de;mépriser contre malade;2024-06-11T17:30:43;5956;jeune gestionnaire accommoder;27478.87
