id;name;description;category;status;creation_date
1;insolite aïe en outre de;solitaire parmi après que;à bas de;retarder circulaire solliciter;2024-06-11T19:57:57
2;direction;rose gueuler;trembler;extatique trop magnifique;2024-06-11T17:08:30
3;avant que chez avant que;svelte déjà;fourbe;à l'entour de si;2024-06-11T12:25:24
4;remarquer détailler;fade commis de cuisine;assez;membre du personnel derrière;2024-06-11T11:37:49
5;lors membre de l’équipe horrible;tout à condition que;raisonner;au point que;2024-06-11T12:14:36
6;présenter;bien que;lectorat;cueillir plic;2024-06-11T13:56:43
7;camarade ouch caresser;en faveur de;ramener à bas de de manière à;miaou;2024-06-11T16:58:37
8;avare;premièrement brave;avare mature;ouah;2024-06-11T14:20:01
9;pff au prix de blablabla;toutefois;extatique puisque guère;sans doute personnel;2024-06-11T11:25:32
10;de manière à ce que;émérite touchant;atchoum;alors que puisque devant;2024-06-11T20:24:59
